Country,Country-Region,Animal,Farm_factor_wheat,Farm_factor_corn,Farm_factor_soy,Farm_factor_rapeseed,Farm_factor_pulses,Farm_factor_barley,Farm_factor_cassava
Vanuatu,Island nation,goat,0,0.1,0,0,0,0,0
Venezuela (Bolivarian Republic of),South America,goat,0,0.6,0.4,0,0,0,6.5
Viet Nam,Southern Asia,goat,0.3,1.1,0,0,0,0,9.4
Wallis and Futuna Islands,Island nation,goat,0,0.2,0.1,0,0,0,12.9
Western Sahara,Northern Africa,goat,1.6,1.6,0.5,0,0.1,2.4,1.7
Yemen,Middle East,goat,0,0.3,0.2,0,0,0.2,0
Zambia,Eastern Africa,goat,0,0.6,0,0,0,0,0
Zimbabwe,Eastern Africa,goat,0,0.1,0.3,0,0,0,0
Afghanistan,Middle East,sheep,0,0.2,0,0,0,0.5,0
Algeria,Northern Africa,sheep,0.9,2.6,0.8,0.1,0,2,0
American Samoa,Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Angola,Central Africa,sheep,0,0.5,0,0,0,0,2051.8
Antigua and Barbuda,Caribbean,sheep,0,0.1,0,0,0,0,52
Argentina,South America,sheep,0,0.4,0.7,0,0,0.1,6.6
Armenia,East Europe and CIS,sheep,1.2,0.3,0.1,0,0,2.9,0
Azerbaijan,Middle East,sheep,1.7,0.2,0.1,0,0,3,0
Bahamas,Caribbean,sheep,0,0.1,0,0,0,0,0
Bahrain,Middle East,sheep,1.5,1.2,0.5,1.4,0,6.9,0
Bangladesh,Middle East,sheep,0,0.5,0.1,0.2,0,0,0
Barbados,Caribbean,sheep,0.1,3.9,0.9,0,0,0,0.2
Belarus,East Europe and CIS,sheep,1.9,0.8,0.2,0.3,0.2,5.4,0
Belize,Central America,sheep,0,2.7,0.4,0,0,0,0
Benin,Western Africa,sheep,0,3.4,0.1,0,0,0,6961.2
Bhutan,Middle East,sheep,1.5,1.2,0.5,1.4,0,6.9,0
Bolivia (Plurinational State of),South America,sheep,0,0.4,0.3,0,0,0.4,16.9
Botswana,Southern Africa,sheep,0,0,0.1,0,0,0,0
Brazil,South America,sheep,0.1,1,0.5,0,0,0,119.3
British Virgin Islands,Caribbean,sheep,0.6,1.6,0.3,0,0,0,18.2
Brunei Darussalam,Southern Asia,sheep,0,0,0,0,0,0,0
Burkina Faso,Western Africa,sheep,0,0,0,0,0,0,0.2
Burundi,Eastern Africa,sheep,0,0.9,0.1,0,0.1,0,229.2
Cote d'Ivoire,Western Africa,sheep,0,0.3,0,0,0,0,462.9
Cabo Verde,Western Africa,sheep,0,1.2,0.1,0,0,0,0
Cambodia,Southern Asia,sheep,0,0.7,0.2,0,0,0,2.4
Cameroon,Central Africa,sheep,0,1.4,0.1,0,0,0,817.5
Central African Republic,Central Africa,sheep,0,0,0,0,0,0,0
Chad,Central Africa,sheep,0,0.1,0,0,0,0,573.7
Chile,South America,sheep,0.1,1,0.3,0.1,0,0.1,0
"China, Hong Kong SAR",Eastern Asia,sheep,0,0.1,0.1,0,0,0,0.5
"China, Macao SAR",Eastern Asia,sheep,0,0,0,0,0,0,0
"China, mainland",China,sheep,0.4,1.5,0.3,0.5,0,0,9.3
"China, Taiwan Province of",China,sheep,0.1,4,0.7,0.3,0,0.1,0.1
Colombia,South America,sheep,0,0.8,0.3,0,0,0,1.8
Comoros,Eastern Africa,sheep,0,0.9,0.1,0,0.1,0,229.2
Congo,Central Africa,sheep,0,0,0.3,0,0,0,1.7
Cook Islands,Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Costa Rica,Central America,sheep,0,1.2,0.4,0,0,0,0
Cuba,Caribbean,sheep,0.7,1.6,0.6,0,0,0,26.9
Cyprus,Western Asia,sheep,0.1,2.7,0.9,0,0,8.8,0
Democratic People's Republic of Korea,Eastern Asia,sheep,0.1,0.6,0.5,0,0,0.1,0
Democratic Republic of the Congo,Central Africa,sheep,0,0.6,0.1,0,0,0,597.5
Djibouti,Eastern Africa,sheep,0,0.9,0.1,0,0.1,0,229.2
Dominica,Caribbean,sheep,0,0,0,0,0,0,24.6
Dominican Republic,Caribbean,sheep,1.4,1.8,0.6,0,0,0,0
Ecuador,South America,sheep,0,0.6,0.5,0,0,0,0
Egypt,Northern Africa,sheep,4,3.3,1,0,0.2,0.3,8.7
El Salvador,Central America,sheep,0,4.1,0.4,0,0,0,0
Equatorial Guinea,Central Africa,sheep,0,0.6,0.1,0,0,0,597.5
Eritrea,Eastern Africa,sheep,0,0.9,0.1,0,0.1,0,229.2
Ethiopia,Eastern Africa,sheep,0,0.3,0,0,0,0,0
Falkland Islands (Malvinas),South America,sheep,0.2,0.8,0.5,0,0,0.1,31.2
Fiji,Island nation,sheep,0,0,0.2,0,0,0,52.8
French Guiana,South America,sheep,0.2,0.8,0.5,0,0,0.1,31.2
French Polynesia,Island nation,sheep,0,1.3,0.2,0,0,0,22.5
Gabon,Central Africa,sheep,0,2.1,0.2,0,0,0,737.7
Gambia,Western Africa,sheep,0,0.9,0,0,0,0,0
Georgia,Western Asia,sheep,1.2,0.8,0.1,0,0,0,0
Ghana,Western Africa,sheep,0,3.1,0,0,0,0,5389.3
Grenada,Caribbean,sheep,3.2,3.8,0.3,0,0.3,0,0
Guadeloupe,Caribbean,sheep,0.6,1.6,0.3,0,0,0,18.2
Guam,Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Guatemala,Central America,sheep,0,1.5,0.4,0,0,0,0
Guinea,Western Africa,sheep,0,1.6,0,0,0,0,6.7
Guinea-Bissau,Western Africa,sheep,0,0,0,0,0,0,0
Guyana,South America,sheep,0.4,1.2,0.3,0,0,0,35.9
Haiti,Caribbean,sheep,0,0.1,0,0,0,0,37.1
Honduras,Central America,sheep,0.1,0.9,0.3,0,0,0,0
India,Southern Asia,sheep,0.2,0.3,0.1,0.1,0.1,0,0
Indonesia,Southern Asia,sheep,0,0.9,0.5,0.2,0,0,20.6
Iran (Islamic Republic of),Middle East,sheep,0.4,2.1,0.5,0.3,0,6.4,0
Iraq,Middle East,sheep,10,1.1,0,0,0,4.8,0
Israel,Middle East,sheep,3.2,2.1,0.6,0.9,0,9.8,0.2
Jamaica,Caribbean,sheep,0,3.4,0.6,0,0,0,32.6
Japan,Eastern Asia,sheep,0.3,2.8,0.6,1.2,0,2.1,0
Jordan,Western Asia,sheep,0,3.5,1,0,0,17.1,0
Kazakhstan,East Europe and CIS,sheep,6,0.2,0.1,0,0,3.2,0
Kenya,Eastern Africa,sheep,0,0.1,0,0,0,0,0
Kiribati,Island nation,sheep,0,0,0,0,0,0,0
Kuwait,Western Asia,sheep,0,1.6,0.4,0,0,1.9,0
Kyrgyzstan,East Europe and CIS,sheep,3.7,0.7,0,0,0,1.6,0
Lao People's Democratic Republic,Southern Asia,sheep,0,2.2,0,0,0,0,42.6
Lebanon,Middle East,sheep,1.2,2.5,0.7,0.1,0,4.8,0
Lesotho,Southern Africa,sheep,0,0,0,0,0,0,0
Liberia,Western Africa,sheep,0,0.8,0,0,0,0,0
Libya,Northern Africa,sheep,1.6,1.6,0.5,0,0.1,2.4,1.7
Madagascar,Eastern Africa,sheep,0,0,0,0,0,0,115.1
Malawi,Eastern Africa,sheep,0,3.1,0.2,0,0.9,0,824.3
Malaysia,Southern Asia,sheep,0,1.9,0.4,0.1,0,0,0.2
Mali,Western Africa,sheep,0,0.4,0,0,0,0,242.9
Martinique,Caribbean,sheep,0.6,1.6,0.3,0,0,0,18.2
Mauritania,Western Africa,sheep,0,0,0,0,0,0,0
Mauritius,Eastern Africa,sheep,0,2.9,0.6,0,0,0,0
Mexico,Central America,sheep,0,1.2,0.4,0.5,0,0.3,0
Micronesia (Federated States of),Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Mongolia,Eastern Asia,sheep,0.6,0,0,0,0,0,0
Montserrat,Caribbean,sheep,0.6,1.6,0.3,0,0,0,18.2
Morocco,Northern Africa,sheep,2.1,0.4,0.3,0.1,0.2,2.7,0
Mozambique,Eastern Africa,sheep,0,2.1,0.2,0,0,0,257.2
Myanmar,Southern Asia,sheep,0,0.3,0,0,0.5,0,0
Namibia,Southern Africa,sheep,0,0.1,0,0,0,0,0
Nauru,Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Nepal,Southern Asia,sheep,0.8,1.1,0.2,0.2,0,0,0
Nicaragua,Central America,sheep,0,0.1,0.1,0,0,0,53.4
Niger,Western Africa,sheep,0,0,0,0,0.9,0,0
Nigeria,Western Africa,sheep,0,1.1,0,0,0.6,0,3126.3
Niue,Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Occupied Palestinian Territory,Middle East,sheep,1.5,1.2,0.5,1.4,0,6.9,0
Oman,Middle East,sheep,0,0,0.4,0.1,0,0.7,0
Pakistan,Middle East,sheep,0.3,0.2,0.1,0.2,0.1,0,0
Panama,Central America,sheep,0,1.1,0.5,0,0,0,2.8
Papua New Guinea,Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Paraguay,South America,sheep,0.8,0.1,1.6,0.1,0,0,187.2
Peru,South America,sheep,0,2.1,0.5,0,0.1,0.2,0
Philippines,Southern Asia,sheep,0.4,1.7,0.4,0,0,0,2.4
Puerto Rico,Central America,sheep,0,1.3,0.3,0.1,0,0,5.6
Qatar,Middle East,sheep,1.5,1.2,0.5,1.4,0,6.9,0
R'union,Eastern Africa,sheep,0,0.9,0.1,0,0.1,0,229.2
Republic of Korea,Eastern Asia,sheep,2,2.3,0.7,0.6,0,0,0
Republic of Moldova,East Europe and CIS,sheep,2.3,6.6,0.1,0,0,2.8,0
Russian Federation,East Europe and CIS,sheep,1.4,0.6,0.2,0.2,0.1,5.8,0
Rwanda,Eastern Africa,sheep,0,0,0,0,0,0,0
Saint Kitts and Nevis,Central America,sheep,0,0,0,0,0,0,0
Saint Lucia,Central America,sheep,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,Caribbean,sheep,1.4,1.4,0,0,0,0,26.1
Samoa,Island nation,sheep,0,0,0,0,0,0,0.1
Sao Tome and Principe,Central Africa,sheep,0,0.1,0,0,0,0,0
Saudi Arabia,Middle East,sheep,0.4,1.8,0.9,0,0,41.3,0
Senegal,Western Africa,sheep,0,0,0,0,0,0,13.2
Seychelles,Eastern Africa,sheep,0,0.9,0.1,0,0.1,0,229.2
Sierra Leone,Western Africa,sheep,0,0.1,0,0,0,0,9490.7
Singapore,Southern Asia,sheep,0.2,0.9,0.2,0.1,0,0,104.9
Solomon Islands,Island nation,sheep,0,0,0,0,0,0,1.9
Somalia,Eastern Africa,sheep,0,0.9,0.1,0,0.1,0,229.2
South Africa,Southern Africa,sheep,0,1.7,0.4,0.1,0,0,0
South Sudan,Eastern Africa,sheep,0,0.9,0.1,0,0.1,0,229.2
Sri Lanka,Southern Asia,sheep,0,0.3,0.3,0,0,0,1453.3
Sudan,Northern Africa,sheep,0.1,0,0,0,0,0,0
Suriname,South America,sheep,0,1.6,0.4,0,0,0,0
Swaziland,Southern Africa,sheep,0,0.7,0.1,0,0,0,0
Syrian Arab Republic,Middle East,sheep,1.5,1.2,0.5,1.4,0,6.9,0
Tajikistan,East Europe and CIS,sheep,7.2,0.3,0,0,0.2,0.4,0
Thailand,Southern Asia,sheep,0.5,1.6,0.8,0.6,0,0,41.8
Timor-Leste,Southern Asia,sheep,0,0.5,0,0,0,0,0
Togo,Western Africa,sheep,0,1.1,0,0,0,0,4.9
Tokelau,Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Tonga,Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Trinidad and Tobago,Caribbean,sheep,0,1.8,0.4,0,0,0,0.8
Tunisia,Northern Africa,sheep,0.6,1.8,0.4,0,0.2,7,0
Turkey,Middle East,sheep,0.3,0.6,0.3,0.1,0.2,7.2,0
Turkmenistan,East Europe and CIS,sheep,3.4,0,0,0,0,0.2,0
Tuvalu,Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Uganda,Eastern Africa,sheep,0,0.3,0,0,0,0,7.8
Ukraine,East Europe and CIS,sheep,2.7,3.5,0.2,0.1,0.1,9.8,0
United Arab Emirates,Middle East,sheep,0.5,3.2,1.9,14.5,0.1,4.1,0
United Republic of Tanzania,Eastern Africa,sheep,0,0.4,0,0,0.1,0,1316.7
United States Virgin Islands,Caribbean,sheep,0.6,1.6,0.3,0,0,0,18.2
Uruguay,South America,sheep,0.7,0.1,0.2,0,0,0,0
Uzbekistan,East Europe and CIS,sheep,6.3,0,0,0,0,0.2,0
Vanuatu,Island nation,sheep,0,0.1,0,0,0,0,0
Venezuela (Bolivarian Republic of),South America,sheep,0,0.6,0.4,0,0,0,6.5
Viet Nam,Southern Asia,sheep,0.3,1.1,0,0,0,0,9.4
Wallis and Futuna Islands,Island nation,sheep,0,0.2,0.1,0,0,0,12.9
Western Sahara,Northern Africa,sheep,1.6,1.6,0.5,0,0.1,2.4,1.7
Yemen,Middle East,sheep,0,0.3,0.2,0,0,0.2,0
Zambia,Eastern Africa,sheep,0,0.6,0,0,0,0,0
Zimbabwe,Eastern Africa,sheep,0,0.1,0.3,0,0,0,0
Afghanistan,Middle East,chicken,0,0.2,0,0,0,0.5,0
Algeria,Northern Africa,chicken,0.9,2.6,0.8,0.1,0,2,0
American Samoa,Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Angola,Central Africa,chicken,0,0.5,0,0,0,0,2051.8
Antigua and Barbuda,Caribbean,chicken,0,0.1,0,0,0,0,52
Argentina,South America,chicken,0,0.4,0.7,0,0,0.1,6.6
Armenia,East Europe and CIS,chicken,1.2,0.3,0.1,0,0,2.9,0
Azerbaijan,Middle East,chicken,1.7,0.2,0.1,0,0,3,0
Bahamas,Caribbean,chicken,0,0.1,0,0,0,0,0
Bahrain,Middle East,chicken,1.5,1.2,0.5,1.4,0,6.9,0
Bangladesh,Middle East,chicken,0,0.5,0.1,0.2,0,0,0
Barbados,Caribbean,chicken,0.1,3.9,0.9,0,0,0,0.2
Belarus,East Europe and CIS,chicken,1.9,0.8,0.2,0.3,0.2,5.4,0
Belize,Central America,chicken,0,2.7,0.4,0,0,0,0
Benin,Western Africa,chicken,0,3.4,0.1,0,0,0,6961.2
Bhutan,Middle East,chicken,1.5,1.2,0.5,1.4,0,6.9,0
Bolivia (Plurinational State of),South America,chicken,0,0.4,0.3,0,0,0.4,16.9
Botswana,Southern Africa,chicken,0,0,0.1,0,0,0,0
Brazil,South America,chicken,0.1,1,0.5,0,0,0,119.3
British Virgin Islands,Caribbean,chicken,0.6,1.6,0.3,0,0,0,18.2
Brunei Darussalam,Southern Asia,chicken,0,0,0,0,0,0,0
Burkina Faso,Western Africa,chicken,0,0,0,0,0,0,0.2
Burundi,Eastern Africa,chicken,0,0.9,0.1,0,0.1,0,229.2
Cote d'Ivoire,Western Africa,chicken,0,0.3,0,0,0,0,462.9
Cabo Verde,Western Africa,chicken,0,1.2,0.1,0,0,0,0
Cambodia,Southern Asia,chicken,0,0.7,0.2,0,0,0,2.4
Cameroon,Central Africa,chicken,0,1.4,0.1,0,0,0,817.5
Central African Republic,Central Africa,chicken,0,0,0,0,0,0,0
Chad,Central Africa,chicken,0,0.1,0,0,0,0,573.7
Chile,South America,chicken,0.1,1,0.3,0.1,0,0.1,0
"China, Hong Kong SAR",Eastern Asia,chicken,0,0.1,0.1,0,0,0,0.5
"China, Macao SAR",Eastern Asia,chicken,0,0,0,0,0,0,0
"China, mainland",China,chicken,0.4,1.5,0.3,0.5,0,0,9.3
"China, Taiwan Province of",China,chicken,0.1,4,0.7,0.3,0,0.1,0.1
Colombia,South America,chicken,0,0.8,0.3,0,0,0,1.8
Comoros,Eastern Africa,chicken,0,0.9,0.1,0,0.1,0,229.2
Congo,Central Africa,chicken,0,0,0.3,0,0,0,1.7
Cook Islands,Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Costa Rica,Central America,chicken,0,1.2,0.4,0,0,0,0
Cuba,Caribbean,chicken,0.7,1.6,0.6,0,0,0,26.9
Cyprus,Western Asia,chicken,0.1,2.7,0.9,0,0,8.8,0
Democratic People's Republic of Korea,Eastern Asia,chicken,0.1,0.6,0.5,0,0,0.1,0
Democratic Republic of the Congo,Central Africa,chicken,0,0.6,0.1,0,0,0,597.5
Djibouti,Eastern Africa,chicken,0,0.9,0.1,0,0.1,0,229.2
Dominica,Caribbean,chicken,0,0,0,0,0,0,24.6
Dominican Republic,Caribbean,chicken,1.4,1.8,0.6,0,0,0,0
Ecuador,South America,chicken,0,0.6,0.5,0,0,0,0
Egypt,Northern Africa,chicken,4,3.3,1,0,0.2,0.3,8.7
El Salvador,Central America,chicken,0,4.1,0.4,0,0,0,0
Equatorial Guinea,Central Africa,chicken,0,0.6,0.1,0,0,0,597.5
Eritrea,Eastern Africa,chicken,0,0.9,0.1,0,0.1,0,229.2
Ethiopia,Eastern Africa,chicken,0,0.3,0,0,0,0,0
Falkland Islands (Malvinas),South America,chicken,0.2,0.8,0.5,0,0,0.1,31.2
Fiji,Island nation,chicken,0,0,0.2,0,0,0,52.8
French Guiana,South America,chicken,0.2,0.8,0.5,0,0,0.1,31.2
French Polynesia,Island nation,chicken,0,1.3,0.2,0,0,0,22.5
Gabon,Central Africa,chicken,0,2.1,0.2,0,0,0,737.7
Gambia,Western Africa,chicken,0,0.9,0,0,0,0,0
Georgia,Western Asia,chicken,1.2,0.8,0.1,0,0,0,0
Ghana,Western Africa,chicken,0,3.1,0,0,0,0,5389.3
Grenada,Caribbean,chicken,3.2,3.8,0.3,0,0.3,0,0
Guadeloupe,Caribbean,chicken,0.6,1.6,0.3,0,0,0,18.2
Guam,Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Guatemala,Central America,chicken,0,1.5,0.4,0,0,0,0
Guinea,Western Africa,chicken,0,1.6,0,0,0,0,6.7
Guinea-Bissau,Western Africa,chicken,0,0,0,0,0,0,0
Guyana,South America,chicken,0.4,1.2,0.3,0,0,0,35.9
Haiti,Caribbean,chicken,0,0.1,0,0,0,0,37.1
Honduras,Central America,chicken,0.1,0.9,0.3,0,0,0,0
India,Southern Asia,chicken,0.2,0.3,0.1,0.1,0.1,0,0
Indonesia,Southern Asia,chicken,0,0.9,0.5,0.2,0,0,20.6
Iran (Islamic Republic of),Middle East,chicken,0.4,2.1,0.5,0.3,0,6.4,0
Iraq,Middle East,chicken,10,1.1,0,0,0,4.8,0
Israel,Middle East,chicken,3.2,2.1,0.6,0.9,0,9.8,0.2
Jamaica,Caribbean,chicken,0,3.4,0.6,0,0,0,32.6
Japan,Eastern Asia,chicken,0.3,2.8,0.6,1.2,0,2.1,0
Jordan,Western Asia,chicken,0,3.5,1,0,0,17.1,0
Kazakhstan,East Europe and CIS,chicken,6,0.2,0.1,0,0,3.2,0
Kenya,Eastern Africa,chicken,0,0.1,0,0,0,0,0
Kiribati,Island nation,chicken,0,0,0,0,0,0,0
Kuwait,Western Asia,chicken,0,1.6,0.4,0,0,1.9,0
Kyrgyzstan,East Europe and CIS,chicken,3.7,0.7,0,0,0,1.6,0
Lao People's Democratic Republic,Southern Asia,chicken,0,2.2,0,0,0,0,42.6
Lebanon,Middle East,chicken,1.2,2.5,0.7,0.1,0,4.8,0
Lesotho,Southern Africa,chicken,0,0,0,0,0,0,0
Liberia,Western Africa,chicken,0,0.8,0,0,0,0,0
Libya,Northern Africa,chicken,1.6,1.6,0.5,0,0.1,2.4,1.7
Madagascar,Eastern Africa,chicken,0,0,0,0,0,0,115.1
Malawi,Eastern Africa,chicken,0,3.1,0.2,0,0.9,0,824.3
Malaysia,Southern Asia,chicken,0,1.9,0.4,0.1,0,0,0.2
Mali,Western Africa,chicken,0,0.4,0,0,0,0,242.9
Martinique,Caribbean,chicken,0.6,1.6,0.3,0,0,0,18.2
Mauritania,Western Africa,chicken,0,0,0,0,0,0,0
Mauritius,Eastern Africa,chicken,0,2.9,0.6,0,0,0,0
Mexico,Central America,chicken,0,1.2,0.4,0.5,0,0.3,0
Micronesia (Federated States of),Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Mongolia,Eastern Asia,chicken,0.6,0,0,0,0,0,0
Montserrat,Caribbean,chicken,0.6,1.6,0.3,0,0,0,18.2
Morocco,Northern Africa,chicken,2.1,0.4,0.3,0.1,0.2,2.7,0
Mozambique,Eastern Africa,chicken,0,2.1,0.2,0,0,0,257.2
Myanmar,Southern Asia,chicken,0,0.3,0,0,0.5,0,0
Namibia,Southern Africa,chicken,0,0.1,0,0,0,0,0
Nauru,Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Nepal,Southern Asia,chicken,0.8,1.1,0.2,0.2,0,0,0
Nicaragua,Central America,chicken,0,0.1,0.1,0,0,0,53.4
Niger,Western Africa,chicken,0,0,0,0,0.9,0,0
Nigeria,Western Africa,chicken,0,1.1,0,0,0.6,0,3126.3
Niue,Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Occupied Palestinian Territory,Middle East,chicken,1.5,1.2,0.5,1.4,0,6.9,0
Oman,Middle East,chicken,0,0,0.4,0.1,0,0.7,0
Pakistan,Middle East,chicken,0.3,0.2,0.1,0.2,0.1,0,0
Panama,Central America,chicken,0,1.1,0.5,0,0,0,2.8
Papua New Guinea,Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Paraguay,South America,chicken,0.8,0.1,1.6,0.1,0,0,187.2
Peru,South America,chicken,0,2.1,0.5,0,0.1,0.2,0
Philippines,Southern Asia,chicken,0.4,1.7,0.4,0,0,0,2.4
Puerto Rico,Central America,chicken,0,1.3,0.3,0.1,0,0,5.6
Qatar,Middle East,chicken,1.5,1.2,0.5,1.4,0,6.9,0
R'union,Eastern Africa,chicken,0,0.9,0.1,0,0.1,0,229.2
Republic of Korea,Eastern Asia,chicken,2,2.3,0.7,0.6,0,0,0
Republic of Moldova,East Europe and CIS,chicken,2.3,6.6,0.1,0,0,2.8,0
Russian Federation,East Europe and CIS,chicken,1.4,0.6,0.2,0.2,0.1,5.8,0
Rwanda,Eastern Africa,chicken,0,0,0,0,0,0,0
Saint Kitts and Nevis,Central America,chicken,0,0,0,0,0,0,0
Saint Lucia,Central America,chicken,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,Caribbean,chicken,1.4,1.4,0,0,0,0,26.1
Samoa,Island nation,chicken,0,0,0,0,0,0,0.1
Sao Tome and Principe,Central Africa,chicken,0,0.1,0,0,0,0,0
Saudi Arabia,Middle East,chicken,0.4,1.8,0.9,0,0,41.3,0
Senegal,Western Africa,chicken,0,0,0,0,0,0,13.2
Seychelles,Eastern Africa,chicken,0,0.9,0.1,0,0.1,0,229.2
Sierra Leone,Western Africa,chicken,0,0.1,0,0,0,0,9490.7
Singapore,Southern Asia,chicken,0.2,0.9,0.2,0.1,0,0,104.9
Solomon Islands,Island nation,chicken,0,0,0,0,0,0,1.9
Somalia,Eastern Africa,chicken,0,0.9,0.1,0,0.1,0,229.2
South Africa,Southern Africa,chicken,0,1.7,0.4,0.1,0,0,0
South Sudan,Eastern Africa,chicken,0,0.9,0.1,0,0.1,0,229.2
Sri Lanka,Southern Asia,chicken,0,0.3,0.3,0,0,0,1453.3
Sudan,Northern Africa,chicken,0.1,0,0,0,0,0,0
Suriname,South America,chicken,0,1.6,0.4,0,0,0,0
Swaziland,Southern Africa,chicken,0,0.7,0.1,0,0,0,0
Syrian Arab Republic,Middle East,chicken,1.5,1.2,0.5,1.4,0,6.9,0
Tajikistan,East Europe and CIS,chicken,7.2,0.3,0,0,0.2,0.4,0
Thailand,Southern Asia,chicken,0.5,1.6,0.8,0.6,0,0,41.8
Timor-Leste,Southern Asia,chicken,0,0.5,0,0,0,0,0
Togo,Western Africa,chicken,0,1.1,0,0,0,0,4.9
Tokelau,Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Tonga,Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Trinidad and Tobago,Caribbean,chicken,0,1.8,0.4,0,0,0,0.8
Tunisia,Northern Africa,chicken,0.6,1.8,0.4,0,0.2,7,0
Turkey,Middle East,chicken,0.3,0.6,0.3,0.1,0.2,7.2,0
Turkmenistan,East Europe and CIS,chicken,3.4,0,0,0,0,0.2,0
Tuvalu,Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Uganda,Eastern Africa,chicken,0,0.3,0,0,0,0,7.8
Ukraine,East Europe and CIS,chicken,2.7,3.5,0.2,0.1,0.1,9.8,0
United Arab Emirates,Middle East,chicken,0.5,3.2,1.9,14.5,0.1,4.1,0
United Republic of Tanzania,Eastern Africa,chicken,0,0.4,0,0,0.1,0,1316.7
United States Virgin Islands,Caribbean,chicken,0.6,1.6,0.3,0,0,0,18.2
Uruguay,South America,chicken,0.7,0.1,0.2,0,0,0,0
Uzbekistan,East Europe and CIS,chicken,6.3,0,0,0,0,0.2,0
Vanuatu,Island nation,chicken,0,0.1,0,0,0,0,0
Venezuela (Bolivarian Republic of),South America,chicken,0,0.6,0.4,0,0,0,6.5
Viet Nam,Southern Asia,chicken,0.3,1.1,0,0,0,0,9.4
Wallis and Futuna Islands,Island nation,chicken,0,0.2,0.1,0,0,0,12.9
Western Sahara,Northern Africa,chicken,1.6,1.6,0.5,0,0.1,2.4,1.7
Yemen,Middle East,chicken,0,0.3,0.2,0,0,0.2,0
Zambia,Eastern Africa,chicken,0,0.6,0,0,0,0,0
Zimbabwe,Eastern Africa,chicken,0,0.1,0.3,0,0,0,0
Afghanistan,Middle East,pig,0,0.2,0,0,0,0.5,0
Algeria,Northern Africa,pig,0.9,2.6,0.8,0.1,0,2,0
American Samoa,Island nation,pig,0,0.2,0.1,0,0,0,12.9
Angola,Central Africa,pig,0,0.5,0,0,0,0,2051.8
Antigua and Barbuda,Caribbean,pig,0,0.1,0,0,0,0,52
Argentina,South America,pig,0,0.4,0.7,0,0,0.1,6.6
Armenia,East Europe and CIS,pig,1.2,0.3,0.1,0,0,2.9,0
Azerbaijan,Middle East,pig,1.7,0.2,0.1,0,0,3,0
Bahamas,Caribbean,pig,0,0.1,0,0,0,0,0
Bahrain,Middle East,pig,1.5,1.2,0.5,1.4,0,6.9,0
Bangladesh,Middle East,pig,0,0.5,0.1,0.2,0,0,0
Barbados,Caribbean,pig,0.1,3.9,0.9,0,0,0,0.2
Belarus,East Europe and CIS,pig,1.9,0.8,0.2,0.3,0.2,5.4,0
Belize,Central America,pig,0,2.7,0.4,0,0,0,0
Benin,Western Africa,pig,0,3.4,0.1,0,0,0,6961.2
Bhutan,Middle East,pig,1.5,1.2,0.5,1.4,0,6.9,0
Bolivia (Plurinational State of),South America,pig,0,0.4,0.3,0,0,0.4,16.9
Botswana,Southern Africa,pig,0,0,0.1,0,0,0,0
Brazil,South America,pig,0.1,1,0.5,0,0,0,119.3
British Virgin Islands,Caribbean,pig,0.6,1.6,0.3,0,0,0,18.2
Brunei Darussalam,Southern Asia,pig,0,0,0,0,0,0,0
Burkina Faso,Western Africa,pig,0,0,0,0,0,0,0.2
Burundi,Eastern Africa,pig,0,0.9,0.1,0,0.1,0,229.2
Cote d'Ivoire,Western Africa,pig,0,0.3,0,0,0,0,462.9
Cabo Verde,Western Africa,pig,0,1.2,0.1,0,0,0,0
Cambodia,Southern Asia,pig,0,0.7,0.2,0,0,0,2.4
Cameroon,Central Africa,pig,0,1.4,0.1,0,0,0,817.5
Central African Republic,Central Africa,pig,0,0,0,0,0,0,0
Chad,Central Africa,pig,0,0.1,0,0,0,0,573.7
Chile,South America,pig,0.1,1,0.3,0.1,0,0.1,0
"China, Hong Kong SAR",Eastern Asia,pig,0,0.1,0.1,0,0,0,0.5
"China, Macao SAR",Eastern Asia,pig,0,0,0,0,0,0,0
"China, mainland",China,pig,0.4,1.5,0.3,0.5,0,0,9.3
"China, Taiwan Province of",China,pig,0.1,4,0.7,0.3,0,0.1,0.1
Colombia,South America,pig,0,0.8,0.3,0,0,0,1.8
